season,season_type_label,games,home_wins,road_wins,home_win_pct,road_win_pct,source
2021,Playoffs,85,48,37,0.5647058823529412,0.4352941176470588,ESPN / hoopR
2021,Regular Season,1081,587,494,0.5430157261794635,0.4569842738205365,ESPN / hoopR
2022,Playoffs,87,52,35,0.5977011494252874,0.40229885057471265,ESPN / hoopR
2022,Regular Season,1231,670,561,0.5442729488220959,0.4557270511779042,ESPN / hoopR
2023,Playoffs,84,50,34,0.5952380952380952,0.4047619047619048,ESPN / hoopR
2023,Regular Season,1231,714,517,0.5800162469536961,0.4199837530463038,ESPN / hoopR
2024,Playoffs,82,48,34,0.5853658536585366,0.4146341463414634,ESPN / hoopR
2024,Regular Season,1232,670,562,0.5438311688311688,0.4561688311688312,ESPN / hoopR
2025,Playoffs,84,48,36,0.5714285714285714,0.42857142857142855,ESPN / hoopR
2025,Regular Season,1234,671,563,0.5437601296596435,0.45623987034035657,ESPN / hoopR
2026,Playoffs,85,47,38,0.5529411764705883,0.4470588235294118,ESPN / hoopR
2026,Regular Season,1235,686,549,0.5554655870445344,0.4445344129554656,ESPN / hoopR
