era,games,home_wins,road_wins,home_win_pct,road_win_pct,close_games,close_home_wins,close_home_win_pct,avg_margin
2002-2009,664,435,229,0.6551204819277109,0.34487951807228917,188,99,0.526595744680851,11.016566265060241
2010-2016,588,376,212,0.6394557823129252,0.36054421768707484,160,93,0.58125,11.256802721088436
2017-2019,243,149,94,0.6131687242798354,0.3868312757201646,64,31,0.484375,12.835390946502057
2020 Bubble,83,40,43,0.4819277108433735,0.5180722891566265,19,9,0.47368421052631576,11.626506024096386
2021-2026,507,293,214,0.5779092702169625,0.42209072978303747,116,48,0.41379310344827586,13.069033530571993
